                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1745,                 2.9161,                 1.5791,                 0.3592,                0.54633,                0.31836,                 0.1503,                 1.3111,                 2.9764,                 1.5682,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.0908,                 2.0027,                 1.4791,                0.35807,                0.58652,                0.38136,                0.17793,                 1.4303,                 2.2801,                 1.6525,              0.0065968,              0.0065968,              0.0065968
                      3,                  1.156,                 1.7818,                 1.5172,                0.33854,                0.46832,                0.34371,                0.17502,                 1.4749,                 2.4516,                 1.7054,              0.0097982,              0.0097982,              0.0097982
                      4,                 1.1648,                 1.6603,                  1.522,                0.33211,                0.41968,                0.37335,                0.19233,                 1.4735,                 2.0846,                 1.6628,               0.009703,               0.009703,               0.009703
                      5,                 1.1288,                 1.4988,                 1.4966,                 0.3973,                0.65177,                0.47507,                0.26188,                 1.4015,                 1.8655,                 1.6255,               0.009703,               0.009703,               0.009703
                      6,                 1.0935,                 1.3874,                 1.4617,                0.39538,                0.77918,                0.52485,                0.29657,                 1.2832,                 1.5963,                  1.499,               0.009604,               0.009604,               0.009604
                      7,                 1.0654,                  1.327,                   1.44,                0.44822,                0.77824,                 0.5628,                0.31393,                 1.3309,                  1.678,                 1.5157,               0.009505,               0.009505,               0.009505
                      8,                 1.0485,                  1.291,                 1.4298,                0.40654,                0.79307,                0.55728,                0.31806,                 1.2746,                 1.5309,                 1.4781,               0.009406,               0.009406,               0.009406
                      9,                 1.0242,                 1.2345,                 1.4119,                 0.4865,                  0.657,                0.56933,                 0.3479,                 1.2871,                 1.6184,                  1.475,               0.009307,               0.009307,               0.009307
                     10,                 1.0107,                 1.1952,                 1.4056,                0.43981,                0.80302,                0.55508,                0.32855,                 1.2641,                 1.4511,                 1.4527,               0.009208,               0.009208,               0.009208
                     11,                 1.0036,                 1.1772,                 1.3974,                0.49523,                0.70502,                0.61847,                0.36717,                  1.289,                 1.4688,                 1.4531,               0.009109,               0.009109,               0.009109
                     12,                0.97772,                 1.1538,                 1.3864,                0.48313,                0.79651,                0.59707,                0.36255,                 1.2257,                  1.443,                 1.4504,                0.00901,                0.00901,                0.00901
                     13,                0.98076,                   1.14,                 1.3818,                0.49116,                0.84378,                0.62739,                0.37574,                 1.2307,                 1.3679,                 1.4375,               0.008911,               0.008911,               0.008911
                     14,                0.95863,                 1.1072,                 1.3673,                0.47692,                0.82948,                0.64426,                0.39136,                 1.2078,                 1.3843,                 1.4017,               0.008812,               0.008812,               0.008812
                     15,                0.95675,                 1.0937,                 1.3634,                0.47811,                0.81395,                0.60611,                0.36285,                 1.1897,                 1.5012,                 1.4091,               0.008713,               0.008713,               0.008713
                     16,                0.95695,                 1.0836,                 1.3641,                0.45002,                0.77708,                0.62869,                0.39141,                 1.1642,                 1.4667,                 1.3903,               0.008614,               0.008614,               0.008614
                     17,                0.94198,                 1.0585,                 1.3511,                0.53041,                0.83096,                 0.6254,                0.37764,                 1.2475,                 1.3005,                 1.4248,               0.008515,               0.008515,               0.008515
                     18,                0.93143,                 1.0457,                  1.347,                0.51812,                0.74377,                0.63025,                0.38899,                 1.2176,                 1.4499,                 1.4225,               0.008416,               0.008416,               0.008416
                     19,                0.93363,                 1.0392,                 1.3438,                0.55697,                0.77931,                0.63653,                0.39281,                 1.1747,                 1.3656,                 1.3721,               0.008317,               0.008317,               0.008317
                     20,                0.92607,                 1.0318,                 1.3402,                0.50499,                0.72033,                0.60651,                0.38954,                 1.2179,                  1.423,                 1.4185,               0.008218,               0.008218,               0.008218
                     21,                 0.9203,                 1.0193,                 1.3352,                0.47769,                0.79235,                0.62054,                 0.3911,                 1.1704,                 1.4104,                 1.3919,               0.008119,               0.008119,               0.008119
                     22,                0.92094,                 1.0209,                 1.3383,                0.51309,                0.73416,                 0.5941,                0.37683,                 1.2012,                 1.4867,                 1.3893,                0.00802,                0.00802,                0.00802
                     23,                0.91245,                 0.9965,                 1.3266,                  0.508,                0.71574,                0.60915,                0.39281,                  1.188,                 1.4688,                 1.3644,               0.007921,               0.007921,               0.007921
                     24,                 0.9089,                0.98539,                 1.3264,                 0.4884,                0.80846,                0.63235,                0.40543,                 1.1933,                 1.4012,                 1.3826,               0.007822,               0.007822,               0.007822
                     25,                0.90111,                 0.9823,                 1.3188,                0.49183,                0.82169,                0.64411,                0.41277,                 1.1549,                  1.358,                 1.3586,               0.007723,               0.007723,               0.007723
                     26,                0.90486,                0.97793,                 1.3222,                0.49497,                0.71182,                0.59703,                0.39297,                 1.1608,                 1.5945,                 1.3917,               0.007624,               0.007624,               0.007624
                     27,                0.89374,                 0.9722,                 1.3164,                0.47903,                0.78516,                0.63463,                0.41154,                  1.141,                 1.3963,                 1.3424,               0.007525,               0.007525,               0.007525
                     28,                0.89002,                0.96683,                 1.3147,                0.49727,                0.70514,                0.62937,                0.40903,                 1.1637,                 1.4929,                  1.376,               0.007426,               0.007426,               0.007426
                     29,                0.89142,                0.96772,                 1.3113,                0.49666,                0.72119,                0.61325,                0.40198,                 1.1687,                 1.5151,                 1.3799,               0.007327,               0.007327,               0.007327
                     30,                0.88784,                0.94847,                 1.3117,                0.50066,                0.80399,                0.64663,                 0.4142,                  1.146,                 1.3992,                 1.3445,               0.007228,               0.007228,               0.007228
                     31,                0.88181,                0.93831,                  1.302,                0.49455,                0.74684,                0.61548,                0.40196,                 1.1506,                 1.4175,                 1.3611,               0.007129,               0.007129,               0.007129
                     32,                0.88232,                0.93279,                 1.3068,                0.48736,                0.78878,                0.63089,                0.40916,                 1.1722,                 1.4282,                 1.3754,                0.00703,                0.00703,                0.00703
                     33,                0.87107,                0.93664,                  1.299,                0.51194,                0.71531,                0.61511,                0.40344,                 1.1402,                 1.4715,                 1.3446,               0.006931,               0.006931,               0.006931
                     34,                0.86976,                0.91964,                 1.2951,                0.50727,                0.74121,                0.63417,                 0.4203,                 1.1294,                  1.405,                  1.322,               0.006832,               0.006832,               0.006832
