文件路径,识别结果,位置,置信度,用时
Drowsiness_SIXU_A01076.jpg,睁眼,"[179, 110, 253, 164]",0.3523235321044922,0.02099442481994629
Drowsiness_SIXU_A01076.jpg,睁眼,"[303, 114, 368, 174]",0.37259650230407715,0.02099442481994629
Drowsiness_SIXU_A01076.jpg,打哈欠,"[139, 38, 386, 450]",0.4031211733818054,0.02099442481994629
Camera: 0,闭眼,"[475, 104, 534, 160]",0.38016459345817566,0.043023109436035156
Camera: 0,闭眼,"[582, 82, 634, 135]",0.4228476881980896,0.043023109436035156
Camera: 0,未打哈欠,"[433, 11, 635, 431]",0.6625668406486511,0.043023109436035156
Camera: 0,闭眼,"[475, 104, 534, 160]",0.3876226246356964,0.020995616912841797
Camera: 0,闭眼,"[582, 82, 633, 135]",0.4283529818058014,0.020995616912841797
Camera: 0,未打哈欠,"[432, 10, 635, 432]",0.6689090728759766,0.020995616912841797
Camera: 0,闭眼,"[475, 104, 534, 160]",0.38760554790496826,0.021019697189331055
Camera: 0,闭眼,"[582, 82, 633, 135]",0.4284243881702423,0.021019697189331055
Camera: 0,未打哈欠,"[432, 10, 635, 432]",0.6689569354057312,0.021019697189331055
Camera: 0,闭眼,"[475, 104, 534, 160]",0.38801681995391846,0.020998716354370117
Camera: 0,闭眼,"[582, 82, 633, 135]",0.4284115731716156,0.020998716354370117
Camera: 0,未打哈欠,"[432, 10, 635, 432]",0.6690494418144226,0.020998716354370117
Camera: 0,闭眼,"[471, 101, 533, 160]",0.4339723289012909,0.02581501007080078
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44455769658088684,0.02581501007080078
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6514940857887268,0.02581501007080078
Camera: 0,闭眼,"[471, 101, 533, 160]",0.43393927812576294,0.016997814178466797
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44457492232322693,0.016997814178466797
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6515110731124878,0.016997814178466797
Camera: 0,闭眼,"[471, 101, 533, 160]",0.4339648485183716,0.017896652221679688
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44459396600723267,0.017896652221679688
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6515131592750549,0.017896652221679688
Camera: 0,闭眼,"[471, 101, 533, 160]",0.43391141295433044,0.01999831199645996
Camera: 0,闭眼,"[579, 81, 630, 136]",0.4445551335811615,0.01999831199645996
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6514800190925598,0.01999831199645996
Camera: 0,闭眼,"[471, 101, 533, 160]",0.434171199798584,0.019000768661499023
Camera: 0,闭眼,"[579, 81, 630, 136]",0.44463592767715454,0.019000768661499023
Camera: 0,未打哈欠,"[432, 6, 636, 436]",0.6514725685119629,0.019000768661499023
Camera: 0,闭眼,"[470, 101, 533, 161]",0.41724878549575806,0.022669315338134766
Camera: 0,闭眼,"[580, 81, 632, 136]",0.44986772537231445,0.022669315338134766
Camera: 0,未打哈欠,"[433, 7, 636, 432]",0.651508629322052,0.022669315338134766
Camera: 0,闭眼,"[470, 101, 533, 161]",0.4173450171947479,0.02100062370300293
Camera: 0,闭眼,"[580, 81, 632, 136]",0.449871689081192,0.02100062370300293
Camera: 0,未打哈欠,"[433, 7, 636, 432]",0.6515510678291321,0.02100062370300293
Camera: 0,闭眼,"[470, 101, 533, 161]",0.4170015752315521,0.019997835159301758
Camera: 0,闭眼,"[580, 81, 632, 136]",0.4498060643672943,0.019997835159301758
Camera: 0,未打哈欠,"[433, 7, 636, 432]",0.6511895656585693,0.019997835159301758
Camera: 0,闭眼,"[470, 101, 533, 161]",0.42019152641296387,0.02937769889831543
Camera: 0,闭眼,"[580, 81, 632, 136]",0.457817941904068,0.02937769889831543
Camera: 0,未打哈欠,"[433, 7, 636, 431]",0.6475751399993896,0.02937769889831543
Camera: 0,闭眼,"[470, 101, 533, 161]",0.4154645502567291,0.0260009765625
Camera: 0,闭眼,"[580, 81, 632, 136]",0.45433667302131653,0.0260009765625
Camera: 0,未打哈欠,"[433, 7, 636, 431]",0.6444470286369324,0.0260009765625
Camera: 0,闭眼,"[472, 101, 535, 161]",0.4424534738063812,0.02700352668762207
Camera: 0,闭眼,"[582, 81, 633, 136]",0.45444566011428833,0.02700352668762207
Camera: 0,未打哈欠,"[431, 7, 635, 431]",0.637958288192749,0.02700352668762207
Camera: 0,闭眼,"[472, 101, 535, 161]",0.44248166680336,0.018997907638549805
Camera: 0,闭眼,"[582, 81, 633, 136]",0.45417875051498413,0.018997907638549805
Camera: 0,未打哈欠,"[431, 7, 635, 431]",0.6378909945487976,0.018997907638549805
Camera: 0,闭眼,"[472, 101, 535, 161]",0.44042742252349854,0.024000883102416992
Camera: 0,闭眼,"[582, 81, 633, 136]",0.45378777384757996,0.024000883102416992
Camera: 0,未打哈欠,"[431, 7, 635, 431]",0.6381028294563293,0.024000883102416992
Camera: 0,闭眼,"[472, 101, 535, 161]",0.44563111662864685,0.024985551834106445
Camera: 0,闭眼,"[582, 81, 633, 136]",0.45647579431533813,0.024985551834106445
Camera: 0,未打哈欠,"[431, 7, 635, 430]",0.6307165622711182,0.024985551834106445
Camera: 0,闭眼,"[472, 101, 535, 161]",0.44401121139526367,0.020998477935791016
Camera: 0,闭眼,"[582, 81, 633, 136]",0.45139142870903015,0.020998477935791016
Camera: 0,未打哈欠,"[431, 7, 635, 431]",0.6335852742195129,0.020998477935791016
Camera: 0,睁眼,"[502, 117, 545, 172]",0.35241058468818665,0.01599907875061035
Camera: 0,睁眼,"[395, 113, 465, 177]",0.3785337507724762,0.01599907875061035
Camera: 0,打哈欠,"[333, 10, 552, 550]",0.4298456013202667,0.01599907875061035
Camera: 0,睁眼,"[502, 117, 545, 172]",0.3524136245250702,0.020002126693725586
Camera: 0,睁眼,"[395, 113, 465, 177]",0.3785307705402374,0.020002126693725586
Camera: 0,打哈欠,"[333, 10, 552, 550]",0.42986252903938293,0.020002126693725586
Camera: 0,睁眼,"[502, 117, 545, 172]",0.35241177678108215,0.01900029182434082
Camera: 0,睁眼,"[395, 113, 465, 177]",0.3785398304462433,0.01900029182434082
Camera: 0,打哈欠,"[333, 10, 552, 550]",0.42974990606307983,0.01900029182434082
Camera: 0,睁眼,"[502, 117, 545, 172]",0.3524039387702942,0.022020816802978516
